Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2
Xkr4,0,0,1,0
Rp1,0,0,0,0
Sox17,0,0,0,0
Mrpl15,1974,1744,2085,2593
Lypla1,1652,1442,1528,2197
Tcea1,4690,3858,5330,6625
Rgs20,17,7,9,17
Atp6v1h,2093,1807,3504,4307
Oprk1,0,0,0,0
Npbwr1,0,0,0,0
Rb1cc1,3054,2437,3276,4156
Fam150a,57,42,9,10
St18,0,2,1,1
Pcmtd1,654,569,1260,1693
Sntg1,1,2,10,14
Rrs1,1827,1646,1771,2371
Adhfe1,3,6,10,15
2610203C22Rik,4,0,8,12
3110035E14Rik,0,0,0,0
Sgk3,73,75,28,41
Mcmdc2,0,0,0,0
Snhg6,1000,796,1095,1437
Snord87,15,3,5,11
Ppp1r42,0,0,0,1
Cops5,2447,2182,2809,3361
Cspp1,301,238,362,495
Arfgef1,2258,1884,2656,3413
Cpa6,52,28,74,76
Mir467e,0,0,0,0
Prex2,146,142,143,215
A830018L16Rik,0,0,0,0
Gm17644,0,0,0,0
Sulf1,1615,1343,2942,3584
Slco5a1,85,68,53,76
Prdm14,0,0,0,0
Ncoa2,975,965,1413,2064
Tram1,7031,5920,6529,8674
Lactb2,342,298,860,1042
