Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Exp3,Exp4,Exp5,Exp6
1,19308,17846,5087,16879,1546,9665,201,10639
2,662,15298,3833,19356,7508,2252,9049,9438
3,17239,1443,761,1783,17048,8174,13111,15704
4,13320,7826,19228,19901,16514,15300,560,9488
5,12699,3114,8143,17131,13799,7657,2150,14937
6,12318,18678,1017,5428,9154,10640,19322,12317
7,11329,1687,5945,17070,1259,17777,19374,11826
8,14464,3411,12678,12622,19628,1840,17940,14794
9,3294,19932,1736,200,4784,2810,3631,18970
10,9461,1101,1815,2229,2642,3701,6238,13620
11,12237,13183,10195,12426,9251,3773,18863,15524
12,8796,15112,2935,5857,5701,16845,11224,8103
13,9969,13634,16745,11643,9819,19310,12267,7313
14,18347,7330,7802,9523,19962,11263,6545,1414
15,9555,17348,1716,7351,15678,995,4219,6852
16,9778,609,8307,1536,2903,7192,5846,546
17,19868,12069,9539,3505,13859,454,2375,10855
18,16915,1761,13765,9533,4957,19042,8099,13586
19,12127,6743,1455,7656,11093,6413,14790,15283
20,11472,15331,5987,4711,16866,8169,6291,13327
21,5856,14846,11483,16987,1361,16943,19121,8438
22,1482,11912,12098,5400,18674,1007,12883,11390
23,10931,4293,7898,8651,680,17780,2953,612
24,935,3554,16940,18082,11184,3540,15419,15808
25,6528,4328,14294,2182,6940,17771,13644,4039
26,16931,13287,7561,5248,10488,18707,17741,8132
27,12206,18396,17014,5868,16769,362,13460,4458
28,9405,12494,347,632,16238,4282,7861,5392
29,9247,532,14172,10667,17148,4250,10612,11723
30,15532,10712,16683,10035,10305,9415,16228,7902
31,6436,5553,1600,13709,5160,17711,14797,928
32,7982,18649,4478,6591,14531,9301,17437,300
33,13741,1360,17861,8760,18648,14721,15666,11898
34,6818,6414,16972,7918,18216,10592,19768,1545
35,18881,17835,7917,18925,17972,282,86,13338
36,10189,4003,8644,1858,7323,6986,1713,14152
37,15873,3428,8538,12528,18653,15360,19468,11259
38,19510,17139,15817,16550,18717,18504,12497,11764
39,10762,8487,7986,13619,1014,2922,816,17464
40,942,13948,7289,4365,17381,7232,19205,11824
41,95,515,5140,10663,3485,8843,6924,8852
42,10572,448,15709,1824,15829,3216,9702,14012
43,8880,4955,9656,11178,426,4357,6329,14613
44,12053,14983,18466,3917,7865,4768,11322,981
45,16300,4330,16090,14900,14628,19266,18479,2696
46,9894,16047,7726,3852,2891,7077,8444,18355
47,15847,13575,552,18135,5575,5000,13668,1387
48,91,8243,15359,16833,13104,8295,4972,17671
49,19230,19220,19901,16538,14154,19986,18067,1388
50,7357,10889,1235,5222,11610,2288,15562,8699
51,19835,8188,1024,15531,18088,7925,3412,14978
52,6538,6253,6840,970,17846,12389,1855,6461
53,63,13918,15910,12673,15394,17556,16984,14098
54,1258,754,13738,13225,13681,8169,3757,2108
55,9092,10880,18604,16864,4231,914,16117,12907
56,17571,17468,19369,969,18465,1054,19843,16541
57,1964,19694,12775,9700,9484,11967,6874,9466
58,3057,11422,8944,17992,13315,16113,5904,6009
